(480978098, 758598751, 1873175390)
(967705987, 823070453, 521846307)
(978763573, 790409323, 1712091993)
(1321405333, 101558674, 1824353598)
(1346371036, 1190048866, 1296803409)
(1465787218, 694009042, 1579977635)
(1906664318, 148814320, 155495772)
(2005765531, 1782055797, 700878533)
(2100038363, 1392529291, 279569586)
(2135017045, 215783668, 1218494034)
(2135017045, 215783668, 1218494034)
(1465787218, 694009042, 1579977635)
(1906664318, 148814320, 155495772)
(480978098, 758598751, 1873175390)
(2100038363, 1392529291, 279569586)
(2005765531, 1782055797, 700878533)
(1346371036, 1190048866, 1296803409)
(967705987, 823070453, 521846307)
(978763573, 790409323, 1712091993)
(1321405333, 101558674, 1824353598)
(2135017045, 215783668, 1218494034)
